Date,Bitcoin_Price,Gold_Price,Bitcoin_Normalized,Gold_Normalized
2020-06-26,9276.58,166.54,3931.253972962665,147.27626459143968
2020-07-03,9087.98,166.98,3851.3285587150913,147.66536964980543
2020-07-10,9440.07,169.19,4000.5382040089844,149.61973823841527
2020-07-17,9131.0,170.12,3869.5596897910755,150.442164839052
2020-07-24,9537.4,178.7,4041.7849726660165,158.0297134771843
2020-07-31,11114.93,185.43,4710.31487053439,163.9812522108242
2020-08-07,11750.28,190.81,4979.56519896597,168.7389458790237
2020-08-14,11777.43,182.54,4991.070898843073,161.42553944110364
2020-08-21,11734.0,182.03,4972.666016866551,160.97453130527063
2020-08-28,11302.01,184.39,4789.59613510192,163.06154934559603
2020-09-04,11397.44,181.64,4830.037716658897,160.62964273081005
2020-09-11,10352.66,182.45,4387.278043819129,161.34594977007427
2020-09-18,10948.43,183.2,4639.75505360851,162.00919702865227
2020-09-25,10732.43,174.94,4548.217993812773,154.70463388751327
2020-10-02,10777.92,178.54,4567.495868118829,157.88822072868766
2020-10-09,10923.3,181.08,4629.10539475357,160.13441811107182
2020-10-16,11431.32,178.3,4844.395474000932,157.67598160594272
2020-10-23,12990.25,178.64,5505.043013942451,157.97665369649806
2020-10-30,13289.0,176.2,5631.648090859007,155.8188892819243
2020-11-06,15591.39,183.19,6607.36110522524,162.00035373187126
2020-11-13,15708.65,177.16,6657.053862779167,156.66784577290414
2020-11-20,17820.57,175.69,7552.048989278298,155.36788114609126
2020-11-27,18739.8,167.79,7941.602746111794,148.38167668906968
2020-12-04,19454.54,172.32,8244.49718184515,152.38769013088077
2020-12-11,18554.15,172.49,7862.927490782727,152.53802617615847
2020-12-18,22847.46,176.44,9682.35792685511,156.03112840466926
2020-12-25,23253.37,176.35,9854.375556214773,155.9515387336399
2021-01-01,28982.56,178.36,12282.307072933001,157.72904138662895
2021-01-08,36860.41,173.34,15620.80349196932,153.28970640254687
2021-01-15,39158.47,171.13,16594.681527312794,151.33533781393703
2021-01-22,35538.98,173.9,15060.804339534687,153.78493102228512
2021-01-29,33403.17,172.61,14155.685044709075,152.64414573753095
2021-02-05,37676.25,169.81,15966.542357079292,150.16802263883977
2021-02-12,48013.38,170.69,20347.239055812177,150.9462327555713
2021-02-19,52118.23,167.01,22086.803407212785,147.69189954014857
2021-02-26,46800.42,161.81,19833.207611137008,143.09338521400778
2021-03-05,50477.7,159.14,21391.57520023732,140.73222497347012
2021-03-12,57764.0,161.49,24479.382972411746,142.8103997170145
2021-03-19,58913.0,163.24,24966.30927660296,144.3579766536965
2021-03-26,51415.92,162.24,21789.176590244522,143.47364697559252
2021-04-02,58735.25,161.98,24890.981904479384,143.24372125928545
2021-04-09,58048.59,163.27,24599.98728651947,144.38450654403962
2021-04-16,62969.12,166.35,26685.22269780057,147.10824195259994
2021-04-23,51731.71,166.4,21923.00292410052,147.15245843650513
2021-04-30,54884.1,165.66,23258.931220070346,146.49805447470817
2021-05-07,56428.16,171.59,23913.277111497227,151.74212946586488
2021-05-14,49007.09,172.69,20768.35614696783,152.71489211177928
2021-05-21,40784.32,176.04,17283.68860448362,155.67739653342764
2021-05-28,39266.04,178.38,16640.26783065644,157.746727980191
